"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","piSL%","pivCH","pivCU","pivFA","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Seth Martinez",21045,"2024-09-23","SEA",21,2024,"HOU","H",29,0,0,13.5000032186516,1,0,0,0,0,0,0,0,1.1,7,3,2,2,0,0,0,0,0,0,0,0,0,20.2500048279774,0,0,0,2,4,1,1,0,0,0,0,0,0,7.09293316199795,0,0.428571428571429,2.25000053644193,0.428571428571429,0.33333333,3.1664797782898,10.3335234403618,7.70250607842834,340.13007178286,77.6501182634796,189.774161995548,0.5,0.142857142,0.285714285,0.571428571,0.25,0,1,6.75000160932579,2,10,12,-0.0161119978874922,-0.0262199994176626,0.010108002461493,-0.945999979972839,-0.100264966487885,0.113857142627239,0.172666668891907,0.274800002574921,NA,0,1,-0.122297652065754,-0.0192129946596939,0,0,0.25,89.33333333,0.5,78.83333333,0.25,84.66666667,NA,-0.635518670082092,-0.887717664241791,0.266273945569992,-21.1839556694031,-14.7952944040298,8.8757981856664,0.71428571,1,0.83333333,0.8,1,0.9,0.41666667,0.71428571,0.08333333,5,2,0,1,3,3,7,0.71428571,0.28571429,0,0.14285714,0.42857143,0.42857143,2.13620247882805,59.24378,45.99663,78.61387,46.76986,56.7852,50.27663,80,30.88491,46.13324,78.94135,59.59044,80,74.11918,58.52496,79.74506,-1.37302,2.01756,86.38,128.5,108.02,94.76,75.92,84.68,89.92,144.46,94.46,102.78,114.28,128.12,96.2716666666667,113.956666666667,113.05,0.16666667,0.08333333,0.5,0.25,89.5500030517578,89.0999984741211,78.4166666666667,84.5666656494141,-7.64060306549072,-8.48730659484863,7.30324109395345,-6.5085817972819,5.58692646026611,1.1156632900238,4.76698684692383,-1.71492385864258,-0.800582092255354,0.120601363480091,-0.90891320630908,0.26951365545392,-40.0291046127677,12.0601363480091,-15.1485534384847,8.98378851513068,0.71428571,1,0.83333333,0.8,1,0.9,0.41666667,17.2,0.25,NA,0.16666667,0.08333333,0.5,84.6475321451823,NA,89.6948547363281,89.1697006225586,78.53125,-5.56673685709635,NA,-6.45674991607666,-7.72141981124878,8.53555297851562,-2.91099993387858,NA,4.90991020202637,0.154915004968643,3.60144011179606,0.26951365545392,NA,-0.800582092255354,0.120601363480091,-0.90891320630908,8.98378851513068,NA,-40.0291046127677,12.0601363480091,-15.1485534384847,0.71428571,1,0.83333333,0.8,1,0.9,0.41666667,7,87.2102748325893,21.0606929234096,2,0.28571429,105.055,3,0.42857143,"2024-09-23",0
"Seth Martinez",21045,"2024-09-21","LAA",21,2024,"HOU","H",29,0,0,18,1,0,0,0,0,0,0,0,1,7,3,2,2,0,0,0,1,0,0,2,18,0,27,2,0,0,1,0,3,0,0,0,0,0.28571429,0,0.28571429,2.12934133765022,0,0.5,3,0.75,0.5,2.1664797782898,15.8335202217102,2.1664797782898,453.506654252709,52.539302626586,52.0512824543046,1,0.75,0.25,0,0,0,0,0,8,17,25,0.000357999699190259,-0.0131760118529201,0.0135340113192797,-1.52300000190735,-0.161420240998268,0.11911428719759,0.00999999977648258,0.00999999977648258,NA,0,1,-0.143921956419945,0.14692747076766,0,0,0.68,89.94117647,0.16,78.5,0.16,83,NA,-0.242642521858215,-0.537276327610016,-0.105488210916519,-1.42730895210715,-13.4319081902504,-2.63720527291298,0.4,0.2,0.32,0.83333333,1,0.875,0.4,0.57142857,0.04,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,9.04065499809489,20,39.04668,20,45.61409,57.18748,37.54597,80,63.0107,52.42405,46.06011,70.61069,36.21568,41.78487,55.96463,28.37147,0.63579,5.03078,88.78,58.16,26.8,100.6,71.62,68.8,98.98,126.04,117.54,130.64,71.98,89.92,103.256,78.2312,73.2576,0.52,0.16,0.16,0.16,90.0230806790865,89.0749969482422,78.2249984741211,83.3250045776367,-7.33530954214243,-9.90896701812744,8.45414733886719,-5.68459272384644,6.44786717341496,0.232195854187012,5.97562122344971,0.284656763076782,-0.0403244644403458,-0.211474388837814,-0.545622952282429,-0.107447430491447,-0.31018818800266,-5.28685972094536,-13.6405738070607,-2.68618576228619,0.35714286,0.27272727,0.32,0.8,1,0.875,0.44,19.55555556,0.16,NA,0.52,0.16,0.16,83.4140014648438,NA,90.1056002103365,89.1912231445312,78.2814483642578,-4.64077997207642,NA,-6.49578974797176,-9.18857002258301,9.84729957580566,-0.983556985855103,NA,5.56880833552434,-0.916230738162994,4.72426223754883,-0.107447430491447,NA,-0.0403244644403458,-0.211474388837814,-0.545622952282429,-2.68618576228619,NA,-0.31018818800266,-5.28685972094536,-13.6405738070607,0.35714286,0.27272727,0.32,0.8,1,0.875,0.44,4,89.6479339599609,5.42197942733765,0,0,106.106,1,0.25,"2024-09-21",0
"Seth Martinez",21045,"2024-08-21","BOS",21,2024,"HOU","H",29,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,1,0,0,0,0,0,0,13.2527290840149,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,9.21451340317726,226.753327126354,404.090721543098,227.389229439621,0,0,0,1,0.25,0.25,0,0,6,12,18,-0.0318600013852119,-0.0458000004291534,0.0139399990439415,-0.523000001907349,-0.0554319024085999,0.174899995326996,0.273200005292892,0.273200005292892,NA,0,1,-0.234359294176102,0.0521980463976442,0,0,0.66666667,90.25,0.16666667,78.33333333,0.16666667,83,NA,-1.11040198802948,0.351665169000626,0.115327715873718,-9.25334990024567,11.7221723000209,3.84425719579061,0.36363636,0.71428571,0.5,1,1,1,0.38888889,0.75,0,1,2,1,1,2,1,4,0.25,0.5,0.25,0.25,0.5,0.25,12.3908494996748,20,47.4949,20,80,51.24014,80,20,57.04413,20,77.93671,65.26282,72.3457,58.18959,51.88333,58.90957,-0.38338,3.50202,88.96,59.56,37.76,106.26,143.42,140.6,88.46,8.72,1.76000000000001,152.7,136.64,144.5,109.138888888889,113.346666666667,108.683333333333,0.55555556,0.11111111,0.16666667,0.16666667,90.3200012207031,89.3000030517578,78.4666646321615,83.1000010172526,-7.85279159545898,-8.33880996704102,7.07033983866374,-6.75625610351562,5.72041435241699,0.168058902025223,3.09628105163574,-0.752986907958984,-1.04868187755346,-0.0592916384339333,0.338299229741096,0.158510945737362,-10.4868187755346,-2.96458192169666,11.2766409913699,5.2836981912454,0.33333333,0.66666667,0.5,1,1,1,0.5,15.92857143,0.16666667,NA,0.55555556,0.11111111,0.16666667,83.082529703776,NA,90.28837890625,89.2646942138672,78.4135996500651,-6.15256309509277,NA,-6.95421371459961,-8.0691499710083,8.33325004577637,-1.95495335261027,NA,4.87864303588867,-0.744040966033936,1.70595073699951,0.158510945737362,NA,-1.04868187755346,-0.0592916384339333,0.338299229741096,5.2836981912454,NA,-10.4868187755346,-2.96458192169666,11.2766409913699,0.33333333,0.66666667,0.5,1,1,1,0.5,4,86.1148834228516,44.6664886474609,1,0.25,102.662,1,0.25,"2024-08-21",0
"Seth Martinez",21045,"2024-07-30","PIT",21,2024,"HOU","H",29,0,0,0,1,0,0,0,0,0,0,0,0.2,6,2,1,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,27.000028163224,1,0,0,1,1,2,0,0,0,0,0.16666667,0.16666667,0,5.73367352628778,0,0.4,4.50000469387067,0.5,0.66666667,4.66648134291335,-4.66648134291335,6.93449631797012,0,115.316381007794,170.667945732913,1,0.5,0.25,0.25,0,0,0,0,12,16,28,-0.0353619977831841,-0.0552500002086163,0.0198880005627871,-1.26600003242493,-0.1341812312603,0.441566675901413,0.238999992609024,0.238999992609024,0.370600014925003,1,1,-0.0753521025180817,-0.00473092845565785,0,0,0.5,90.5,0.46428571,79.46153846,0.03571429,84,NA,-0.845567882061005,-0.548093855381012,0.2312992811203,-6.03977058615003,-4.21610657985394,23.12992811203,0.07142857,0.85714286,0.46428571,0,0.91666667,0.84615385,0.5,0.33333333,0.07142857,1,2,1,0,3,1,4,0.25,0.5,0.25,0,0.75,0.25,8.28461157822871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.88,59.72,167.58,85.38,116.54,96.56,48.12,239.64,210.24,67.42,119.72,118.14,68.1014285714286,146.762142857143,137.535714285714,0.25,0.25,0.46428571,0.03571429,90.8285696847098,89.9857090541295,79.4615384615385,84.1999969482422,-6.9971923828125,-7.84460994175502,7.55248084435096,-3.28305053710938,5.86424963814872,-0.46971675327846,4.42500422551082,1.61008131504059,0.00728597864508629,-0.866462200880051,-0.519886679947376,0.23420649766922,0.104085409215518,-12.3780314411436,-3.99912830728751,23.420649766922,0,0.65,0.46428571,NA,0.84615385,0.84615385,0.71428571,21.18181818,0.03571429,NA,0.25,0.25,0.46428571,84.1230010986328,NA,90.759041922433,89.9166957310268,79.3854323167067,-2.53913998603821,NA,-6.20052446637835,-7.26614870343889,8.54509793795072,0.36259400844574,NA,5.02657318115234,-1.58791814531599,3.00226270235502,0.23420649766922,NA,0.00728597864508629,-0.866462200880051,-0.519886679947376,23.420649766922,NA,0.104085409215518,-12.3780314411436,-3.99912830728751,0,0.65,0.46428571,NA,0.84615385,0.84615385,0.71428571,4,95.5328674316406,11.2321281433105,0,0,102.277,3,0.75,"2024-07-30",0
"Seth Martinez",21045,"2024-07-28","LAD",21,2024,"HOU","H",29,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,0,2,0,1,0,0,0,0,0.33333333,-0.33333333,14.4338401827424,0,0,1.50000156462356,0,1,7.66648447216047,-7.66648447216047,12.202514422274,0,190.648906496422,301.723432731227,0,0,0,1,0.5,0,0,0,8,7,15,0.0276879873126745,-0.0130380038172007,0.0407259911298752,0.256999999284744,0.0272390022873878,0.708133339881897,0.950600028038025,0.950600028038025,0.900600016117096,1,1,0.0222366563975811,0.0168633064954135,0,0,0.73333333,91.45454545,0.2,79.33333333,0.06666667,85,NA,0.301064729690552,-0.000919044017791748,-0.0968978852033615,2.73695208809593,-0.0306348005930583,-9.68978852033615,0,0.8,0.26666667,NA,0.5,0.5,0.33333333,0.33333333,0.13333333,0,0,2,1,1,0,2,0,0,1,0.5,0.5,0,3.8972110300584,20,32.60763,20,33.91463,54.56836,24.84387,NA,NA,NA,61.72951,58.62325,76.77611,24.7871,51.24714,21.11681,1.6918,6.61479,56.78,-74.76,-93.44,104.32,66.28,71.44,NA,NA,NA,113.08,91.26,111.32,102.902666666667,61.8733333333333,68.424,0.73333333,NA,0.2,0.06666667,91.390907981179,NA,79.2333374023438,84.6999969482422,-7.73095911199396,NA,6.48776626586914,-6.79527807235718,6.15299502286044,NA,5.10914484659831,1.53665316104889,0.2839648835361,NA,-0.0013216957449913,-0.0991095378994942,2.58149894123728,NA,-0.0440565248330434,-9.91095378994942,0,0.44444444,0.26666667,NA,0.5,0.5,0.6,15.25,0.06666667,NA,0.73333333,NA,0.2,84.4740982055664,NA,91.1583251953125,NA,78.9917653401693,-6.6153302192688,NA,-6.97162420099432,NA,7.2718931833903,0.305364996194839,NA,5.0286882573908,NA,3.7753267288208,-0.0991095378994942,NA,0.2839648835361,NA,-0.0013216957449913,-9.91095378994942,NA,2.58149894123728,NA,-0.0440565248330434,0,0.5,0.26666667,NA,0.5,0.5,0.53333333,2,79.1228485107422,64.4180908203125,0,0,91.067,0,0,"2024-07-28",0
"Seth Martinez",21045,"2024-07-23","@OAK",21,2024,"HOU","A",29,0,0,9,1,0,0,0,0,0,0,0,2,10,4,2,2,1,0,0,0,0,0,2,9,0,18,2,0,0,2,3,3,0,0,0,0,0.2,0,0.2,3.47286908401489,4.5,0.4,2,0.428571428571429,0.76923077,7.6664797782898,1.3335202217102,3.4344923876226,226.753327126354,190.648788629501,83.5963543856913,0.666666666,0.375,0.25,0.375,0,0.333333333,0,0,11,25,36,-0.0108240200206637,-0.0168280638754368,0.00600404478609562,-1.09400010108948,-0.119956143200397,0.0406000018119812,0.0474000014364719,0.0732000023126602,0,1,1,-0.272290021181107,0.00568855473807967,0,0,0.75,89.7037037,0.16666667,78.83333333,0.08333333,84,NA,-0.246050909161568,-0.844409227371216,-0.855021178722382,-0.911299663561362,-14.0734871228536,-28.5007059574127,0.125,0.75,0.47222222,0.5,0.8,0.76470588,0.55555556,0.6,0.11111111,3,3,2,0,3,5,8,0.375,0.375,0.25,0,0.375,0.625,9.89197339351547,20,39.34015,20,65.04817,54.56464,73.43673,50.92795,45.71214,42.53118,67.32373,62.06236,72.30313,54.56147,48.66665,55.23656,-0.15798,3.84012,64.96,-0.039999999999992,-26.36,101.7,113.72,115.34,78.92,134.92,127.5,115.64,62.44,67.22,92.8782857142857,106.908571428571,103.857714285714,0.36111111,0.38888889,0.16666667,0.08333333,90.1538461538462,89.1285749162946,78.7999979654948,83.8666687011719,-7.19166095440204,-8.63323974609375,6.16931978861491,-7.20549201965332,5.89111504187951,-0.0468593793255942,4.4800287882487,-0.217614710330963,-0.692572109401226,0.485720548778772,-0.838147979229689,-0.864642895758152,-5.32747776462482,3.46943249127695,-13.9691329871615,-28.8214298586051,0.07142857,0.72727273,0.47222222,1,0.75,0.76470588,0.61111111,18.11538462,0.08333333,NA,0.36111111,0.38888889,0.16666667,84.4408976236979,NA,90.751962515024,89.7235456194196,79.3741149902344,-6.09959983825684,NA,-5.88709141657903,-7.5574335370745,7.84644190470378,-1.43769613901774,NA,5.08836834247296,-1.06275456292289,3.17869281768799,-0.864642895758152,NA,-0.692572109401226,0.485720548778772,-0.838147979229689,-28.8214298586051,NA,-5.32747776462482,3.46943249127695,-13.9691329871615,0.07142857,0.72727273,0.47222222,1,0.75,0.76470588,0.61111111,8,97.6200714111328,18.7152404785156,1,0.125,103.642,6,0.75,"2024-07-23",0
"Seth Martinez",21045,"2024-07-21","@SEA",21,2024,"HOU","A",29,0,0,13.5000032186516,1,0,0,0,0,0,0,0,1.1,6,3,2,2,1,1,0,0,0,0,1,6.75000160932579,6.75000160932579,20.2500048279774,1,0,0,1,1,2,0,0,0,0,0.16666667,0.16666667,0,5.73367352628778,6.75000160932579,0.6,3.00000071525591,0.666666666666667,0.76923077,13.6664822816855,-0.166479063033886,5.05048653213841,340.13007178286,341.313745313171,123.798361175099,1,0.5,0.25,0.25,0,1,2,13.5000032186516,9,16,25,-0.210326015949249,-0.229685992002487,0.0193599853664637,-2.36899995803833,-0.269051671028137,0.463828563690186,0.358733355998993,0.731800019741058,0.192200005054474,1,1,-0.122323624789715,-0.331132743390613,0,1,0.52,90.15384615,0.4,79,0.08,84,NA,0.189335852861404,-1.70871424674988,-0.0580911040306091,1.45642963739542,-17.0871424674988,-2.90455520153046,0.375,0.55555556,0.44,0.83333333,0.8,0.81818182,0.36,1,0.08,2,1,1,0,2,2,4,0.5,0.25,0.25,0,0.5,0.5,25.3812118686915,20,45.72852,27.90263,55.76594,50.96142,59.34508,24.91851,71.46236,20,80,60.73235,80,63.92018,58.90282,67.98265,-0.7394,2.96799,94.36,88.84,54.98,118.1,93.86,85.44,92.7,-4.96000000000001,10.8,108.74,122.94,132.76,108.3928,89.2792,89.9888,0.36,0.16,0.4,0.08,90.4111124674479,89.4250030517578,78.9599975585938,84.1999969482422,-6.629517449273,-8.4792537689209,6.8935920715332,-5.73459720611572,6.29726197984484,0.226420864462852,4.38657112121582,-0.997425198554993,-0.437482841312885,0.628751628100872,-1.71663946285844,-0.0591252744197845,-4.86092045903206,15.7187907025218,-17.1663946285844,-2.95626372098923,0.25,0.61538462,0.44,0.66666667,0.875,0.81818182,0.52,17.05555556,0.08,NA,0.36,0.16,0.4,84.067497253418,NA,90.2914564344618,89.2947998046875,78.8136108398437,-5.69227027893066,NA,-5.95996559990777,-7.76376724243164,8.32272872924805,-1.61096251010895,NA,6.01892768012153,-0.485040634870529,3.91774749755859,-0.0591252744197845,NA,-0.437482841312885,0.628751628100872,-1.71663946285844,-2.95626372098923,NA,-4.86092045903206,15.7187907025218,-17.1663946285844,0.25,0.61538462,0.44,0.66666667,0.875,0.81818182,0.52,4,93.2736663818359,17.0663108825684,0,0,101.988,2,0.5,"2024-07-21",0
"Seth Martinez",21045,"2024-07-14","TEX",21,2024,"HOU","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.4284869896923,27.173712862954,2,0,1,0,0,0,1,9,1,7,8,0.00714399991557002,0,0.00714399991557002,0.476999998092651,0.0505564361810684,0.0949333310127258,0.121599994599819,0.121599994599819,NA,0,1,0.0755405202507973,-0.000287710311869013,0,0,0.375,91.66666667,0.375,79.66666667,0.25,85,NA,0.290079355239868,0.0540259703993797,0.346377730369568,9.66931184132894,1.80086567997932,17.3188865184784,0.8,0.66666667,0.75,0.25,1,0.5,0.375,1,0.375,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,-0.215139263503894,80,65.14066,80,43.56242,51.40835,46.35265,NA,NA,NA,68.60643,58.37108,65.23219,70.89572,61.30367,72.1705,-1.17276,2.31795,107.22,127.72,130.52,93.62,100.02,102.68,NA,NA,NA,98.72,111.64,116.36,98.9325,111.3025,114.77,0.375,NA,0.375,0.25,91.3666687011719,NA,79.4333343505859,85.0500030517578,-7.87470626831055,NA,5.90392557779948,-8.09370422363281,5.06373246510824,NA,4.4367634455363,-2.70242214202881,0.293756578117609,NA,0.0544858016073704,0.350456550717354,9.79188593725364,NA,1.81619338691235,17.5228275358677,0.66666667,0.8,0.75,0,0.75,0.5,0.625,13.4,0.25,NA,0.375,NA,0.375,85.0473022460938,NA,91.3908284505208,NA,79.4368693033854,-7.92334461212158,NA,-7.41754976908366,NA,6.74771372477214,-4.2052698135376,NA,4.12782351175944,NA,3.00778325398763,0.350456550717354,NA,0.293756578117609,NA,0.0544858016073704,17.5228275358677,NA,9.79188593725364,NA,1.81619338691235,0.75,0.75,0.75,0,1,0.5,0.5,2,94.7088012695312,3.43157958984375,0,0,106.297,1,0.5,"2024-07-14",0
"Seth Martinez",21045,"2024-07-13","TEX",21,2024,"HOU","H",29,0,0,0,1,0,0,0,0,0,0,0,0.2,5,1,0,0,0,2,0,0,0,0,1,13.500014081612,27.000028163224,13.500014081612,0.5,0,0,1,1,0,0,0,0,0,0.2,0.4,-0.2,10.4768090840149,0,0.333333333333333,4.50000469387067,0.5,1,9.16648603678403,-9.16648603678403,11.4345010118408,0,228.315169240736,282.617125666085,1,0,0.5,0.5,0,0,0,0,11,10,21,-0.035886000841856,-0.159016013145447,0.123130023479462,-0.265999972820282,-0.0281928945332766,2.55748009681702,1.8374000787735,1.8374000787735,5.66519975662231,1,1,-0.0311070177704096,0.0170752366877263,0,0,0.52380952,91.72727273,0.33333333,80.14285714,0.14285714,85.66666667,NA,-0.226409286260605,-0.323037475347519,-0.00869514048099518,-2.05826623873277,-4.61482107639313,-0.289838016033173,0,0.55555556,0.23809524,NA,0.8,0.8,0.42857143,0.8,0.04761905,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,6.05900727106173,74.61491,49.47072,73.1409,42.19157,55.44205,36.20974,80,46.69193,80,40.44339,71.24209,42.66655,52.45993,60.83497,53.66925,-0.02742,4.03596,86.92,118.58,110.18,93.72,72.54,74.06,113.52,139.08,140.26,117.88,42.2,63.84,102.687619047619,75.3409523809524,82.1180952380952,0.42857143,0.0952381,0.33333333,0.14285714,91.7333306206597,91,80.1571393694196,85.5,-8.04317728678385,-9.91856956481934,6.95357404436384,-7.01100921630859,6.17372131347656,0.383726388216019,5.51593562534877,-0.890107790629069,-0.321122035384178,0.0682137757539749,-0.331186711788177,-0.00912149995565414,-3.56802261537976,3.41068878769875,-4.73123873983111,-0.304049998521805,0,0.5,0.23809524,NA,0.8,0.8,0.47619048,17.875,0.14285714,NA,0.42857143,0.0952381,0.33333333,85.3797302246094,NA,91.5863444010417,90.8995971679688,80.0215890066964,-6.52220662434896,NA,-7.32045237223307,-9.27179527282715,8.16051592145647,-2.43432458241781,NA,5.18627463446723,-0.946954488754272,3.94508280072893,-0.00912149995565414,NA,-0.321122035384178,0.0682137757539749,-0.331186711788177,-0.304049998521805,NA,-3.56802261537976,3.41068878769875,-4.73123873983111,0,0.55555556,0.23809524,NA,0.6,0.6,0.42857143,2,80.0441589355469,23.3100204467773,0,0,88.6546,0,0,"2024-07-13",0
"Seth Martinez",21045,"2024-07-05","@MIN",21,2024,"HOU","A",29,0,0,0,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,1,1,0,0,0,2,0,0.2,0,0.2,3.29696908401489,0,0.2,0.750000178813977,0.25,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,39.9838858278095,67.8238162491883,1,0,0.5,0.5,0,0,0,0,1,7,8,0.0847639888525009,-0.0750080049037933,0.159771993756294,0.707000076770782,0.0741090178489685,1.38823997974396,1.01999998092651,0.920000016689301,1.16999995708466,1,1,0.0358987599611282,0.0251598394808317,1,0,0.875,90.42857143,NA,NA,0.125,85,NA,0.837488889694214,NA,-0.723715543746948,11.9641269956316,NA,-72.3715543746948,0.5,0.75,0.625,1,0.66666667,0.8,0.5,0.8,0.125,2,1,1,0,2,2,4,0.5,0.25,0.25,0,0.5,0.5,0.185624796909954,50.57409,43.46536,58.46731,78.92016,52.03728,73.90065,70.24159,70.4652,64.48976,NA,NA,NA,78.76224,52.95294,77.2397,-1.66148,1.58487,87.06,146.4,144.14,103.78,126.1,119.66,96.44,155.08,158.06,NA,NA,NA,99.2942857142857,137.28,134.128571428571,0.5,0.375,NA,0.125,91,89.8333333333333,NA,84.6999969482422,-7.90531396865845,-8.80594253540039,NA,-5.57462024688721,5.39693689346313,0.124760121107101,NA,-0.771744549274445,0.447570942342281,0.401088714599609,NA,-0.730484664440155,11.189273558557,13.369623819987,NA,-73.0484664440155,0.5,0.66666667,0.625,1,0.75,0.8,0.75,17,0.125,NA,0.5,0.375,NA,84.5419006347656,NA,90.8368988037109,89.6532999674479,NA,-4.79050016403198,NA,-7.16983509063721,-8.24483680725098,NA,-1.38183999061584,NA,4.99305009841919,-0.439556280771891,NA,-0.730484664440155,NA,0.447570942342281,0.401088714599609,NA,-73.0484664440155,NA,11.189273558557,13.369623819987,NA,0.5,0.66666667,0.625,1,0.75,0.8,0.75,4,97.0280456542969,7.80891513824463,1,0.25,102.555,1,0.25,"2024-07-05",0
