Tm,R/G,R,H,2B,HR,RBI,BA,OBP,SLG,OPS,OPS+,RA/G,W-L%,ERA,SV,HA,RA,HRA,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9
Arizona Diamondbacks,4.33,702,1232,262,173,658,0.23,0.304,0.385,0.689,95,4.57,0.457,4.25,33,1345,740,191,1216,95,4.33,1.293,8.5,1.2,3.2,7.7
Atlanta Braves,4.87,789,1394,298,243,753,0.253,0.317,0.443,0.761,109,3.76,0.623,3.46,55,1224,609,148,1554,121,3.46,1.191,7.6,0.9,3.1,9.7
Baltimore Orioles,4.16,674,1281,275,171,639,0.236,0.305,0.39,0.695,99,4.25,0.512,3.97,46,1406,688,171,1214,99,4.03,1.29,8.8,1.1,2.8,7.6
Boston Red Sox,4.54,735,1427,352,155,704,0.258,0.321,0.409,0.731,101,4.86,0.481,4.53,39,1411,787,185,1346,94,4.17,1.354,8.9,1.2,3.3,8.5
Chicago Cubs,4.06,657,1293,265,159,620,0.238,0.311,0.387,0.698,96,4.51,0.457,4,44,1342,731,207,1383,103,4.33,1.304,8.4,1.3,3.4,8.6
Chicago White Sox,4.23,686,1435,272,149,654,0.256,0.31,0.387,0.698,97,4.43,0.5,3.92,48,1330,717,166,1450,101,3.81,1.287,8.3,1,3.3,9
Cincinnati Reds,4,648,1264,235,156,618,0.235,0.304,0.372,0.676,83,5.03,0.383,4.86,31,1366,815,213,1414,93,4.59,1.39,8.6,1.3,3.9,8.9
Cleveland Guardians,4.31,698,1410,273,127,662,0.254,0.316,0.383,0.699,102,3.91,0.568,3.46,51,1252,634,172,1390,110,3.75,1.159,7.7,1.1,2.7,8.6
Colorado Rockies,4.31,698,1408,280,149,669,0.254,0.315,0.398,0.713,90,5.39,0.42,5.06,43,1516,873,184,1187,92,4.38,1.442,9.6,1.2,3.4,7.5
Detroit Tigers,3.44,557,1240,235,110,530,0.231,0.286,0.346,0.632,82,4.4,0.407,4.04,38,1336,713,167,1195,96,4.16,1.301,8.5,1.1,3.2,7.6
Houston Astros,4.55,737,1341,284,214,715,0.248,0.319,0.424,0.743,111,3.2,0.654,2.9,53,1121,518,134,1524,132,3.28,1.092,7,0.8,2.9,9.5
Kansas City Royals,3.95,640,1327,247,138,613,0.244,0.306,0.38,0.686,94,5,0.401,4.7,33,1493,810,173,1191,86,4.42,1.47,9.5,1.1,3.7,7.6
Los Angeles Angels,3.85,623,1265,219,190,600,0.233,0.297,0.39,0.687,93,4.12,0.451,3.77,38,1241,668,168,1383,108,3.96,1.241,7.8,1.1,3.4,8.7
Los Angeles Dodgers,5.23,847,1418,325,212,812,0.257,0.333,0.442,0.775,115,3.17,0.685,2.8,43,1114,513,152,1465,146,3.45,1.048,6.9,0.9,2.5,9.1
Miami Marlins,3.62,586,1241,248,144,554,0.23,0.294,0.363,0.658,87,4.17,0.426,3.86,41,1311,676,173,1437,105,3.9,1.268,8.2,1.1,3.2,9
Milwaukee Brewers,4.48,725,1271,251,219,703,0.235,0.315,0.409,0.724,104,4.25,0.531,3.83,52,1238,688,190,1530,106,3.92,1.216,7.7,1.2,3.2,9.5
Minnesota Twins,4.3,696,1356,269,178,668,0.248,0.317,0.401,0.718,104,4.22,0.481,3.98,28,1320,684,184,1336,100,4.03,1.244,8.3,1.2,2.9,8.4
New York Mets,4.77,772,1422,272,171,735,0.259,0.332,0.412,0.744,114,3.74,0.623,3.57,41,1274,606,169,1565,108,3.5,1.183,8,1.1,2.7,9.8
New York Yankees,4.98,807,1308,225,254,764,0.241,0.325,0.426,0.751,114,3.5,0.611,3.3,47,1177,567,157,1459,117,3.56,1.117,7.3,1,2.8,9
Oakland Athletics,3.51,568,1147,249,137,537,0.216,0.281,0.346,0.626,84,4.75,0.37,4.52,34,1394,770,195,1203,83,4.41,1.33,8.8,1.2,3.2,7.6
Philadelphia Phillies,4.61,747,1392,255,205,719,0.253,0.317,0.422,0.739,108,4.23,0.537,3.97,42,1330,685,150,1423,102,3.6,1.255,8.4,0.9,2.9,9
Pittsburgh Pirates,3.65,591,1186,221,158,555,0.222,0.291,0.364,0.655,84,5.04,0.383,4.66,33,1432,817,164,1250,89,4.27,1.42,9.1,1,3.7,7.9
San Diego Padres,4.35,705,1317,275,153,682,0.241,0.318,0.382,0.7,103,4.07,0.549,3.81,48,1263,660,173,1451,100,3.82,1.199,7.9,1.1,2.9,9
Seattle Mariners,4.26,690,1236,229,197,663,0.23,0.315,0.39,0.704,105,3.85,0.556,3.59,40,1277,623,186,1391,105,3.9,1.191,7.9,1.2,2.8,8.7
San Francisco Giants,4.42,716,1261,255,183,683,0.234,0.315,0.39,0.705,99,4.3,0.5,3.85,39,1397,697,132,1370,104,3.43,1.283,8.8,0.8,2.8,8.6
St. Louis Cardinals,4.77,772,1386,290,197,739,0.252,0.325,0.42,0.745,112,3.93,0.574,3.79,37,1335,637,146,1177,105,3.94,1.27,8.4,0.9,3.1,7.4
Tampa Bay Rays,4.11,666,1294,296,139,634,0.239,0.309,0.377,0.686,99,3.79,0.531,3.41,44,1260,614,172,1384,109,3.68,1.145,7.9,1.1,2.4,8.7
Texas Rangers,4.36,707,1308,224,198,670,0.239,0.301,0.395,0.696,96,4.59,0.42,4.22,37,1345,743,169,1314,95,4.17,1.342,8.4,1.1,3.6,8.2
Toronto Blue Jays,4.78,775,1464,307,200,756,0.264,0.329,0.431,0.76,118,4.19,0.568,3.87,46,1356,679,180,1390,99,3.85,1.235,8.5,1.1,2.6,8.7
Washington Nationals,3.72,603,1351,252,136,579,0.249,0.31,0.377,0.688,99,5.28,0.34,5,28,1469,855,244,1220,79,4.98,1.436,9.4,1.6,3.6,7.8
League Average,4.28,694,1322,265,174,663,0.243,0.312,0.395,0.706,100,4.28,0.5,3.96,41,1322,694,174,1360,101,3.97,1.266,8.3,1.1,3.1,8.5
,4.28,20817,39675,7940,5215,19888,0.243,0.312,0.395,0.706,100,4.28,0.5,3.96,1232,39675,20817,5215,40812,101,3.97,1.266,8.3,1.1,3.1,8.5
